,PERSON_ID,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FIRST_LAST,ROSTERSTATUS,FROM_YEAR,TO_YEAR,PLAYERCODE,PLAYER_SLUG,TEAM_ID,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,TEAM_SLUG,TEAM_CODE,GAMES_PLAYED_FLAG,OTHERLEAGUE_EXPERIENCE_CH
277,201599,"Jordan, DeAndre",DeAndre Jordan,1,2008,2023,deandre_jordan,deandre_jordan,1610612743,Denver,Nuggets,DEN,nuggets,nuggets,Y,00
278,202709,"Joseph, Cory",Cory Joseph,0,2011,2023,cory_joseph,cory_joseph,0,,,,,,Y,01
279,1631107,"Jovic, Nikola",Nikola Jovic,1,2022,2023,nikola_jovic,nikola_jovic,1610612748,Miami,Heat,MIA,heat,heat,Y,01
280,1630548,"Juzang, Johnny",Johnny Juzang,1,2022,2023,johnny_juzang,johnny_juzang,1610612762,Utah,Jazz,UTA,jazz,jazz,Y,11
281,1628379,"Kennard, Luke",Luke Kennard,1,2017,2023,luke_kennard,luke_kennard,1610612763,Memphis,Grizzlies,MEM,grizzlies,grizzlies,Y,01
282,1631117,"Kessler, Walker",Walker Kessler,1,2022,2023,walker_kessler,walker_kessler,1610612762,Utah,Jazz,UTA,jazz,jazz,Y,00
283,1630296,"Key, Braxton",Braxton Key,1,2021,2023,braxton_key,braxton_key,1610612743,Denver,Nuggets,DEN,nuggets,nuggets,Y,11
284,1630557,"Kispert, Corey",Corey Kispert,1,2021,2023,corey_kispert,corey_kispert,1610612764,Washington,Wizards,WAS,wizards,wizards,Y,00
285,1628467,"Kleber, Maxi",Maxi Kleber,1,2017,2023,maxi_kleber,maxi_kleber,1610612742,Dallas,Mavericks,DAL,mavericks,mavericks,Y,00
286,1628995,"Knox II, Kevin",Kevin Knox II,0,2018,2023,kevin_knox,kevin_knox_ii,0,,,,,,Y,11
287,1629723,"Konchar, John",John Konchar,1,2019,2023,john_konchar,john_konchar,1610612763,Memphis,Grizzlies,MEM,grizzlies,grizzlies,Y,01
288,1627788,"Korkmaz, Furkan",Furkan Korkmaz,0,2017,2023,furkan_korkmaz,furkan_korkmaz,0,,,,,,Y,01
289,1628436,"Kornet, Luke",Luke Kornet,1,2017,2023,luke_kornet,luke_kornet,1610612738,Boston,Celtics,BOS,celtics,celtics,Y,01
290,1630249,"Krejci, Vit",Vit Krejci,1,2021,2023,vit_krejci,vit_krejci,1610612737,Atlanta,Hawks,ATL,hawks,hawks,Y,11
291,1630228,"Kuminga, Jonathan",Jonathan Kuminga,1,2021,2023,jonathan_kuminga,jonathan_kuminga,1610612744,Golden State,Warriors,GSW,warriors,warriors,Y,01
292,1628398,"Kuzma, Kyle",Kyle Kuzma,1,2017,2023,kyle_kuzma,kyle_kuzma,1610612764,Washington,Wizards,WAS,wizards,wizards,Y,00
293,1631222,"LaRavia, Jake",Jake LaRavia,1,2022,2023,jake_laravia,jake_laravia,1610612763,Memphis,Grizzlies,MEM,grizzlies,grizzlies,Y,11
294,203897,"LaVine, Zach",Zach LaVine,1,2014,2023,zach_lavine,zach_lavine,1610612741,Chicago,Bulls,CHI,bulls,bulls,Y,00
295,1629111,"Landale, Jock",Jock Landale,1,2021,2023,jock_landale,jock_landale,1610612745,Houston,Rockets,HOU,rockets,rockets,Y,00
296,1630639,"Lawson, A.J.",A.J. Lawson,1,2022,2023,aj_lawson,aj_lawson,1610612742,Dallas,Mavericks,DAL,mavericks,mavericks,Y,01
297,1627747,"LeVert, Caris",Caris LeVert,1,2016,2023,caris_levert,caris_levert,1610612739,Cleveland,Cavaliers,CLE,cavaliers,cavaliers,Y,00
