GAME_ID,Team_ID_1,Team_ID_2,GAME_DATE_1,MATCHUP_1,PTS_1,PTS_2,win%_1,efg%_1,fta_rate_1,tov%_1,oreb%_1,offrtg_1,defrtg_1,pace_1,ppg_1,opp_ppg_1,dreb%_1,win%_2,efg%_2,fta_rate_2,tov%_2,oreb%_2,offrtg_2,defrtg_2,pace_2,ppg_2,opp_ppg_2,dreb%_2
0022300996,1610612748,1610612739,2024-03-20,MIA @ CLE,107,104,0.6,0.5344009489916963,0.23843416370106763,0.11581105710814094,0.1990632318501171,1059231.25,103199387.5,1.93688,105.0,102.3,0.7720090293453724,0.4,0.5126002290950744,0.18098510882016036,0.12202846709888963,0.22799097065462753,1036341.625,106369375.0,1.9450399999999999,102.3,105.0,0.8009367681498829
0022301081,1610612748,1610612764,2024-03-31,MIA @ WAS,119,107,0.6,0.5340095465393795,0.24463007159904535,0.11108982953457192,0.1943127962085308,1050401.6666666667,102534437.5,1.9243999999999999,104.8,102.3,0.7704545454545455,0.4,0.5150812064965197,0.1902552204176334,0.1205091511636665,0.22954545454545455,1024236.1250000001,104926633.33333334,1.92232,102.3,104.8,0.8056872037914692
0022301120,1610612748,1610612745,2024-04-05,MIA @ HOU,119,104,0.6,0.5376344086021505,0.24970131421744324,0.11015747729798075,0.18705035971223022,1067587.0416666667,104142562.5,1.93192,106.1,103.5,0.7902097902097902,0.4,0.5283687943262412,0.2033096926713948,0.12527522587502846,0.2097902097902098,1038967.5000000001,106506716.6666667,1.92736,103.5,106.1,0.8129496402877698
0022301133,1610612748,1610612754,2024-04-07,MIA @ IND,115,117,0.6,0.5363528009535161,0.24433849821215733,0.10842448666282863,0.18181818181818182,1065839.375,103564562.5,1.9324000000000001,105.9,102.9,0.7936507936507936,0.4,0.5129259694477086,0.21739130434782608,0.11904761904761904,0.20634920634920634,1036931.8750000001,106716312.5,1.9348,102.9,105.9,0.8181818181818182
0022301147,1610612748,1610612737,2024-04-09,MIA @ ATL,117,111,0.5,0.5263774912075029,0.2473622508792497,0.09734310581768207,0.1822429906542056,1078947.0,106076250.0,1.9396799999999996,106.8,105.0,0.815242494226328,0.5,0.5229142185663925,0.21974148061104584,0.10970351432823292,0.18475750577367206,1059056.25,107721150.0,1.9365599999999998,105.0,106.8,0.8177570093457944
0022300149,1610612749,1610612751,2023-11-06,MIL @ BKN,129,125,0.0,0.5460526315789473,0.5,0.1145912910618793,0.16666666666666666,11298.875,1323291.6666666667,1.9544,111.0,130.0,0.5945945945945946,1.0,0.6428571428571429,0.15384615384615385,0.14139271827500885,0.40540540540540543,13292.500000000002,1134975.0,1.9631999999999998,130.0,111.0,0.8333333333333334
0022300171,1610612749,1610612754,2023-11-09,MIL @ IND,124,126,0.5,0.5552325581395349,0.36046511627906974,0.09942154736080984,0.21348314606741572,50570.0,5373062.5,2.0227999999999997,120.0,127.5,0.6904761904761905,0.5,0.6015625,0.140625,0.105318588730911,0.30952380952380953,53624.375,5047000.0,2.0188,127.5,120.0,0.7865168539325843
0022300173,1610612749,1610612753,2023-11-11,MIL @ ORL,97,112,0.3333333333333333,0.5637065637065637,0.33976833976833976,0.10787486515641855,0.192,117435.50000000001,12292012.500000002,2.0648,121.33333333333333,127.0,0.7286821705426356,0.6666666666666666,0.596830985915493,0.16549295774647887,0.10303815355628827,0.2713178294573643,120919.875,11552450.000000002,2.0312,127.0,121.33333333333333,0.808
0022300195,1610612749,1610612761,2023-11-15,MIL @ TOR,128,112,0.25,0.5610119047619048,0.33630952380952384,0.12479578870938464,0.18354430379746836,197711.37500000003,21143537.500000007,2.0586,115.25,123.25,0.7142857142857143,0.75,0.5720108695652174,0.22282608695652173,0.10617589807113785,0.2857142857142857,206484.83333333334,19308216.666666668,2.0103999999999997,123.25,115.25,0.8164556962025317
0022300027,1610612749,1610612766,2023-11-17,MIL @ CHA,130,99,0.4,0.5760095011876485,0.3182897862232779,0.12409664939046645,0.19387755102040816,312881.7083333334,32138104.166666668,2.03984,117.8,121.0,0.6738197424892703,0.6,0.5452586206896551,0.2435344827586207,0.10769123879663725,0.3261802575107296,314927.7083333334,30659904.166666675,1.99888,121.0,117.8,0.8061224489795918
0022300219,1610612749,1610612764,2023-11-20,MIL @ WAS,142,129,0.5,0.5931372549019608,0.28823529411764703,0.12353587115666177,0.1794871794871795,459620.75000000006,45003200.00000001,2.0456000000000003,119.83333333333333,117.33333333333333,0.7038327526132404,0.5,0.527927927927928,0.24324324324324326,0.1074956420685648,0.2961672473867596,442493.3333333333,45192145.83333333,2.0113333333333334,117.33333333333333,119.83333333333333,0.8205128205128205
0022300228,1610612749,1610612738,2023-11-22,MIL @ BOS,116,119,0.5714285714285714,0.6009933774834437,0.2897350993377483,0.12129032258064516,0.2140221402214022,643059.375,62214687.5,2.0485714285714285,123.0,119.0,0.7280966767371602,0.42857142857142855,0.5397553516819572,0.22324159021406728,0.09796041394554406,0.2719033232628399,612810.3333333334,63340900.0,2.0178285714285713,119.0,123.0,0.7859778597785978
0022300056,1610612749,1610612748,2023-11-28,MIL @ MIA,131,124,0.5,0.5879432624113475,0.2723404255319149,0.11540874865543205,0.21981424148606812,836027.0416666667,81463433.33333334,2.0537,122.125,119.0,0.7452574525745257,0.5,0.5494579945799458,0.22086720867208673,0.10302197802197802,0.25474254742547425,801980.6666666667,82304108.33333334,2.0218000000000003,119.0,122.125,0.7801857585139319
0022300269,1610612749,1610612741,2023-11-30,MIL @ CHI,113,120,0.5555555555555556,0.5901639344262295,0.27616645649432536,0.11184788687385155,0.2206703910614525,1064557.1666666667,103381183.33333334,2.049688888888889,123.11111111111111,119.55555555555556,0.7536231884057971,0.4444444444444444,0.5534855769230769,0.22115384615384615,0.09782995375311276,0.2463768115942029,1019913.5000000002,105024550.0,2.022133333333333,119.55555555555556,123.11111111111111,0.7793296089385475
0022300388,1610612749,1610612752,2023-12-23,MIL @ NYK,130,111,0.5,0.5836139169472503,0.26038159371492703,0.1173249902229175,0.21782178217821782,1319036.125,129202883.33333334,2.0527769072164945,122.1,119.6,0.7489177489177489,0.5,0.5505376344086022,0.221505376344086,0.10520409594613551,0.2510822510822511,1276530.666666667,130321400.00000003,2.028153402061856,119.6,122.1,0.7821782178217822
0022300401,1610612749,1610612752,2023-12-25,MIL @ NYK,122,129,0.6,0.5899558498896247,0.23951434878587197,0.1180117659492021,0.2301980198019802,1346536.6666666667,127812391.66666667,2.0634655670103093,124.0,117.7,0.7651991614255765,0.4,0.5354077253218884,0.22854077253218885,0.10081352128480257,0.2348008385744235,1261253.5833333335,132876333.33333334,2.0362292783505156,117.7,124.0,0.7698019801980198
0022300417,1610612749,1610612751,2023-12-27,MIL @ BKN,144,122,0.5,0.5878453038674033,0.23977900552486187,0.11889245076971854,0.24019607843137256,1332513.375,127631654.16666667,2.053568659793814,123.3,118.1,0.7672413793103449,0.5,0.5373781148429035,0.24485373781148428,0.10346883658938655,0.23275862068965517,1270116.291666667,132604012.5,2.0435925773195875,118.1,123.3,0.7598039215686274
0022300433,1610612749,1610612739,2023-12-29,MIL @ CLE,119,111,0.6,0.6008820286659317,0.23594266813671444,0.11570802713397402,0.24634146341463414,1345878.6250000002,126424512.50000003,2.041058969072165,125.3,117.7,0.7526652452025586,0.4,0.5262875536480687,0.2521459227467811,0.10074691679694285,0.24733475479744135,1269443.5416666667,135141270.83333337,2.0494515463917526,117.7,125.3,0.7536585365853659
0022300466,1610612749,1610612754,2024-01-03,MIL @ IND,130,142,0.7,0.6038461538461538,0.23846153846153847,0.11370848318172203,0.24879227053140096,1369934.375,126356300.0,2.0416923711340207,127.5,117.6,0.7682403433476395,0.3,0.5273396424815984,0.21976866456361724,0.09619050920309195,0.2317596566523605,1281301.0,138916562.5,2.0703538144329894,117.6,127.5,0.751207729468599
0022300477,1610612749,1610612759,2024-01-04,MIL @ SAS,125,121,0.6,0.5981461286804798,0.24863685932388221,0.11253402191360178,0.2458628841607565,1386502.75,130941450.0,2.063148865979381,127.7,120.6,0.8008948545861297,0.4,0.546031746031746,0.22433862433862434,0.0934269348980162,0.19910514541387025,1326951.75,140507245.83333334,2.0907810309278347,120.6,127.7,0.7541371158392435
0022300496,1610612749,1610612745,2024-01-06,MIL @ HOU,108,112,0.6,0.5907608695652173,0.2543478260869565,0.11275326117124618,0.2541176470588235,1384572.0,133667800.00000003,2.0683744329896907,127.2,122.8,0.7940503432494279,0.4,0.5574288724973656,0.21812434141201265,0.0924891805109591,0.20594965675057209,1350902.3333333333,139930600.0,2.090385154639175,122.8,127.2,0.7458823529411764
0022300572,1610612749,1610612739,2024-01-17,MIL @ CLE,95,135,0.5,0.5792682926829268,0.2749445676274945,0.11236744153381559,0.22273781902552203,1345190.1666666667,131585241.66666667,2.06473237113402,123.8,121.1,0.7894736842105263,0.5,0.5482315112540193,0.24437299035369775,0.09778926413578738,0.21052631578947367,1328719.2916666667,135834391.6666667,2.0849220618556696,121.1,123.8,0.777262180974478
0022300592,1610612749,1610612765,2024-01-20,MIL @ DET,141,135,0.5,0.5747767857142857,0.2689732142857143,0.11405432168623568,0.21296296296296297,1317199.6666666667,132802300.0,2.056656494845361,121.7,122.7,0.7734553775743707,0.5,0.5520169851380042,0.24416135881104034,0.09302729960006954,0.22654462242562928,1343565.0,133261500.00000003,2.0807257731958764,122.7,121.7,0.7870370370370371
0022300606,1610612749,1610612765,2024-01-22,MIL @ DET,122,113,0.5,0.5761478163493841,0.2945128779395297,0.11416327104116902,0.21100917431192662,1337839.0,134983266.6666667,2.0718581443298967,122.7,123.8,0.7737556561085973,0.5,0.5514861995753716,0.25583864118895966,0.09420590472239508,0.22624434389140272,1363141.1666666667,135102925.0,2.092285360824742,123.8,122.7,0.7889908256880734
